"brain__DBA.2J"	"colon__DBA.2J"	"kidney__DBA.2J"	"liver__DBA.2J"	"lung__DBA.2J"	"brain__C57BL.6"	"colon__C57BL.6"	"kidney__C57BL.6"	"liver__C57BL.6"	"lung__C57BL.6"	"brain__CD1"	"colon__CD1"	"kidney__CD1"	"liver__CD1"	"lung__CD1"	"metadata"
"Adamts16"	170	0	33	5	0	194	2	38	6	0	121	17	45	0	0	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 16"
"Lingo1"	3848	8	4	7	52	4663	15	2	10	18	5417	35	4	20	219	"leucine rich repeat and Ig domain containing 1"
"Gpr55"	27	499	5	5	23	58	886	2	11	56	9	463	6	0	9	"G protein-coupled receptor 55"
"C1ql3"	1097	3	114	30	6	995	3	61	6	0	1427	2	93	12	2	"C1q-like 3"
"Nckap5"	131	383	104	61	2698	116	216	99	16	2423	130	231	24	15	3107	"NCK-associated protein 5"
"Lrrc19"	4	2272	5594	1	2	8	849	4019	3	6	5	677	3946	0	3	"leucine rich repeat containing 19"
"Gja4"	39	55	135	121	1331	26	42	109	118	795	23	167	89	162	1636	"gap junction protein, alpha 4"
"Lgals3"	13	7595	434	79	2056	15	11567	386	156	2547	8	6847	497	64	1712	"lectin, galactose binding, soluble 3"
"Cldn8"	5	10	646	1	150	0	8	920	5	88	0	29	759	3	59	"claudin 8"
"Adra1b"	208	4	58	3046	32	284	3	41	2944	28	128	6	41	2465	51	"adrenergic receptor, alpha 1b"
"Kcnb1"	4437	145	219	114	349	6364	129	282	149	278	7076	192	174	125	255	"potassium voltage gated channel, Shab-related subfamily, member 1"
"Lrrc4c"	3296	11	5	81	29	2836	18	3	36	69	2896	13	2	29	38	"leucine rich repeat containing 4C"
"Trhde"	916	9	0	93	1	734	2	1	55	0	995	2	0	70	0	"TRH-degrading enzyme"
"Scg2"	8347	378	1	2	17	5760	635	1	1	11	4508	563	0	15	5	"secretogranin II"
"Pgbd5"	2230	47	8	0	7	2984	62	12	0	3	3078	94	12	3	15	"piggyBac transposable element derived 5"
"Fam131a"	3413	32	36	8	191	4447	25	51	14	124	6305	73	59	29	256	"family with sequence similarity 131, member A"
"Cdh20"	760	35	13	0	3	393	17	4	0	6	440	31	2	0	0	"cadherin 20"
"Insl6"	6	148	68	8	2	3	550	42	2	8	5	219	39	6	4	"insulin-like 6"
"Adgb"	24	5	3	2	330	44	15	7	65	275	14	17	6	3	163	"androglobin"
"Camk2n2"	1709	20	62	40	30	1069	45	58	38	18	1131	33	30	41	30	"calcium/calmodulin-dependent protein kinase II inhibitor 2"
"Ncald"	9271	301	571	446	1944	10592	338	414	490	1607	12390	302	471	305	1391	"neurocalcin delta"
"Kcnj16"	822	3	23866	21	0	613	8	14206	31	4	636	15	17500	58	1	"potassium inwardly-rectifying channel, subfamily J, member 16"
"Lrrc3"	226	243	599	3598	46	300	333	537	4572	19	275	219	668	4629	51	"leucine rich repeat containing 3"
"AU021092"	36	27	308	38	1999	24	54	534	52	1289	26	65	454	38	1960	"expressed sequence AU021092"
"Tmem198"	491	18	13	1	27	832	22	16	3	42	877	33	24	9	59	"transmembrane protein 198"
"Kcnf1"	1531	48	11	0	9	3123	66	40	1	40	2532	115	8	0	3	"potassium voltage-gated channel, subfamily F, member 1"
"Ttn"	113	39	53	17	436	68	34	34	5	785	57	27	43	12	855	"titin"
"Wfdc21"	0	8	0	21169	74	0	9	0	10083	80	0	0	0	8942	8	"WAP four-disulfide core domain 21"
"Nlgn2"	5317	236	162	146	773	5388	236	179	123	539	6219	435	189	165	1627	"neuroligin 2"
"Slc6a7"	1608	94	4	1	7	2194	160	8	8	1	2997	244	34	12	9	"solute carrier family 6 (neurotransmitter transporter, L-proline), member 7"
"Akr1b7"	1	941	28	5	5	0	3553	60	3	25	2	2138	120	6	16	"aldo-keto reductase family 1, member B7"
"Bhlha15"	3	257	13	5	44	5	1037	6	24	46	3	1529	10	55	51	"basic helix-loop-helix family, member a15"
"Dnah3"	44	1	35	4	1050	32	3	12	1	460	32	4	34	0	366	"dynein, axonemal, heavy chain 3"
"Hbb-b1"	519	53	992	1187	15541	164	126	657	622	9466	130	63	848	363	7796	"hemoglobin, beta adult major chain"
"B630019K06Rik"	1067	20	36	24	37	428	28	37	21	47	498	33	35	20	47	"F-box and leucine-rich repeat protein 17 pseudogene"
"Mpp3"	935	32	57	4	78	1114	25	53	5	74	1656	60	63	9	104	"membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)"
"Trpm3"	3719	9	65	4	96	2832	8	165	5	50	1426	4	187	3	30	"transient receptor potential cation channel, subfamily M, member 3"
"Mogat2"	0	7868	125	4	3	0	9155	235	28	4	0	6386	404	9	2	"monoacylglycerol O-acyltransferase 2"
"Pkdrej"	23	33	52	614	50	42	15	24	296	15	52	42	34	365	22	"polycystin (PKD) family receptor for egg jelly"
"Dlg2"	9467	41	114	23	21	9401	59	97	2	37	9285	85	35	17	26	"discs large MAGUK scaffold protein 2"
"Kcnt2"	650	18	28	164	16	690	8	24	52	1	798	15	10	73	7	"potassium channel, subfamily T, member 2"
"Map1b"	39550	388	229	11	1261	28672	404	203	25	908	30688	656	193	35	802	"microtubule-associated protein 1B"
"Reep1"	3920	81	50	92	333	2538	69	33	50	437	2967	117	57	46	502	"receptor accessory protein 1"
"Prkcb"	10828	311	41	70	294	11199	575	48	104	584	12669	615	24	87	215	"protein kinase C, beta"
"Glis3"	137	51	2716	23	307	168	37	1738	25	215	197	65	1556	17	247	"GLIS family zinc finger 3"
"Rnf157"	6282	130	64	53	143	5765	109	80	70	122	6540	196	69	61	148	"ring finger protein 157"
"Ube2ql1"	3665	6	32	63	7	2577	2	42	3	6	3401	2	28	38	8	"ubiquitin-conjugating enzyme E2Q family-like 1"
"Hrh1"	273	48	7	0	11	230	48	3	1	11	309	46	8	6	12	"histamine receptor H1"
"Brsk2"	3549	18	7	2	19	3509	49	8	4	10	3949	165	22	9	10	"BR serine/threonine kinase 2"
"Ptprt"	4124	17	2	41	38	4800	17	3	16	13	4126	6	6	6	6	"protein tyrosine phosphatase, receptor type, T"
"Cdh22"	505	4	2	0	33	637	0	1	0	22	584	29	6	0	89	"cadherin 22"
"Mllt11"	6610	439	467	73	140	4065	276	482	39	126	5857	313	412	44	147	"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11"
"Prx"	23	43	53	12	2823	60	54	75	12	4073	55	85	41	17	7560	"periaxin"
"Arhgap20"	2531	76	6	1	222	2306	35	10	0	348	2486	65	6	0	75	"Rho GTPase activating protein 20"
"Gm9899"	331	5	5	0	26	360	8	19	1	43	422	13	10	0	62	"predicted gene 9899"
"Nrgn"	8249	29	47	25	223	11089	62	41	23	256	14170	144	41	17	569	"neurogranin"
"Shisa7"	3051	9	57	0	18	4801	32	348	10	46	4731	25	83	0	78	"shisa family member 7"
"Mast1"	1914	68	24	104	89	1806	31	6	85	27	1988	46	22	99	72	"microtubule associated serine/threonine kinase 1"
"Ppfia2"	3082	6	10	32	25	3271	6	9	12	0	3785	13	2	32	21	"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2"
"Stum"	5380	182	13	2	42	8292	123	31	14	22	8959	227	22	9	120	"mechanosensory transduction mediator"
"Lgals4"	37	50266	247	379	112	59	77697	440	629	201	47	40732	237	551	176	"lectin, galactose binding, soluble 4"
"Cd8a"	0	874	13	8	132	1	1199	36	11	242	0	746	2	0	77	"CD8 antigen, alpha chain"
"Iigp1"	26	523	136	14648	969	18	402	489	8587	1193	6	235	73	9215	673	"interferon inducible GTPase 1"
"H2-T3"	3	4947	8	10	39	0	8953	0	0	10	0	6503	34	29	8	"histocompatibility 2, T region locus 3"
"Fam83e"	1	1055	1	10	153	1	939	3	2	84	2	1081	2	0	89	"family with sequence similarity 83, member E"
"Ffar4"	1	41	1	12	230	1	43	7	3	133	0	35	2	20	131	"free fatty acid receptor 4"
"Lifr"	1760	611	2829	34223	4155	1354	547	2171	26611	3477	1517	652	2246	29317	3226	"LIF receptor alpha"
"Kcnn4"	3	820	13	16	115	5	1056	18	15	92	6	1375	12	6	106	"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4"
"Fabp1"	1	66609	9	259470	213	0	106019	16	134161	263	0	33387	105	157494	386	"fatty acid binding protein 1, liver"
"Cadps"	9333	58	1	2	2	7395	39	1	0	1	7976	27	0	6	2	"Ca2+-dependent secretion activator"
"Vsnl1"	16333	8	1	1	338	10641	9	0	0	282	13329	6	2	20	366	"visinin-like 1"
"9130230L23Rik"	1	510	19	74	153	0	1037	20	32	120	0	606	18	20	128	"RIKEN cDNA 9130230L23 gene"
"Ugt2b5"	0	3576	64	39115	0	1	1202	76	22511	0	0	1356	53	16193	0	"UDP glucuronosyltransferase 2 family, polypeptide B5"
"Ano9"	0	3138	95	5	74	0	4054	102	6	42	0	2188	130	3	49	"anoctamin 9"
"Tafa5"	2133	19	187	56	26	1816	32	144	104	22	1922	54	174	90	23	"TAFA chemokine like family member 5"
"Afp"	1	811	13	215	19	0	1050	19	102	22	2	417	6	171	8	"alpha fetoprotein"
"Sec14l3"	39	0	697	0	30044	23	0	344	0	23683	37	0	745	0	24546	"SEC14-like lipid binding 3"
"Lrtm2"	1146	1	55	1	241	1208	3	63	0	274	1206	4	45	0	265	"leucine-rich repeats and transmembrane domains 2"
"Cntn1"	13323	58	75	0	175	11050	22	59	0	34	10669	58	39	3	149	"contactin 1"
"Anxa13"	2	10032	502	35	1	11	6740	273	32	8	9	6068	465	32	2	"annexin A13"
"Ntrk2"	16383	16	37	25	463	14750	15	108	22	342	13432	15	41	1558	304	"neurotrophic tyrosine kinase, receptor, type 2"
"Them7"	1	0	8180	874	2	0	3	3744	697	0	0	8	7207	841	1	"thioesterase superfamily member 7"
"Atp10b"	106	4434	100	1	17	65	1914	213	2	11	23	1994	106	0	2	"ATPase, class V, type 10B"
"Nap1l5"	13295	36	76	6	22	5956	49	114	3	43	6950	65	41	15	17	"nucleosome assembly protein 1-like 5"
"Alk"	240	4	45	0	2	189	5	22	0	0	136	10	45	0	0	"anaplastic lymphoma kinase"
"Gpc3"	160	30	341	13	4366	136	109	469	37	2023	113	250	548	12	4345	"glypican 3"
"Tmem191"	598	53	58	22	38	990	159	51	35	36	1527	192	99	29	67	"transmembrane protein 191"
"Slain1"	1296	134	61	10	151	800	86	49	4	108	816	152	49	3	97	"SLAIN motif family, member 1"
"Nap1l3"	1568	13	49	33	53	873	25	60	27	45	1059	13	45	17	35	"nucleosome assembly protein 1-like 3"
"Cldn23"	13	460	12	2	45	8	328	2	2	71	12	304	4	3	33	"claudin 23"
"Elapor2"	1874	12	5	16	231	1398	14	2	16	195	1293	13	2	23	226	"endosome-lysosome associated apoptosis and autophagy regulator family member 2"
"Ms4a4b"	1	100	15	41	407	1	163	34	27	653	0	119	6	15	263	"membrane-spanning 4-domains, subfamily A, member 4B"
"Sertm1"	1006	215	0	0	0	886	197	0	0	0	1100	106	0	0	0	"serine rich and transmembrane domain containing 1"
"Actr3b"	1954	6	13	12	38	1869	9	10	2	33	2139	25	10	9	54	"ARP3 actin-related protein 3B"
"Med12l"	1105	23	42	70	63	963	18	26	55	75	706	23	26	15	43	"mediator complex subunit 12-like"
"Chn1"	16450	77	289	12	592	19794	71	309	3	551	20777	79	282	17	753	"chimerin 1"
"Adgrf5"	1174	711	2994	1779	32178	594	653	2782	1230	21752	449	521	1946	1439	24654	"adhesion G protein-coupled receptor F5"
"Ptprn2"	6312	263	5	6	32	5243	217	11	0	36	6519	304	10	9	24	"protein tyrosine phosphatase, receptor type, N polypeptide 2"
"Trnp1"	1882	20	26	1	32	1933	48	18	0	66	1650	63	18	3	64	"TMF1-regulated nuclear protein 1"
"Gpr173"	443	13	17	6	39	354	14	16	1	33	403	13	10	3	30	"G-protein coupled receptor 173"
"St8sia3"	3749	61	0	13	2	3031	31	0	55	3	3408	29	0	9	2	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3"
"Usp13"	995	12	48	0	222	1068	29	24	1	195	1105	21	18	0	257	"ubiquitin specific peptidase 13 (isopeptidase T-3)"
"Gjc3"	1660	10	1	154	1	1307	8	2	45	0	694	25	0	177	2	"gap junction protein, gamma 3"
"Inca1"	74	23	72	920	37	63	23	90	1163	36	79	23	53	563	40	"inhibitor of CDK, cyclin A1 interacting protein 1"
"Fam47e"	4	12	12	644	213	13	17	5	855	186	5	25	41	1511	53	"family with sequence similarity 47, member E"
"Ces1g"	0	1569	181	8298	438	0	931	621	10349	194	0	886	55	9664	362	"carboxylesterase 1G"
"Zfp607b"	351	14	13	10	31	409	9	16	10	36	300	8	10	3	27	"zinc finger protein 607B"
"Gja5"	12	65	104	23	1103	7	54	133	29	738	6	63	89	46	1329	"gap junction protein, alpha 5"
"Arhgap24"	357	90	5734	378	528	200	126	5567	417	620	138	200	6395	223	719	"Rho GTPase activating protein 24"
"Ryr3"	1496	99	7	5	53	1781	49	11	3	38	1542	79	14	0	74	"ryanodine receptor 3"
"Ces1c"	0	58	0	54565	0	0	29	4	75138	0	0	31	0	37534	1	"carboxylesterase 1C"
"Ugt2b37"	0	1	3294	91	0	0	2	4013	87	0	0	0	5101	154	0	"UDP glucuronosyltransferase 2 family, polypeptide B37"
"Trim30d"	17	891	17	33	104	22	1755	49	147	310	0	135	2	20	1	"tripartite motif-containing 30D"
"Colq"	27	28	2	1	733	20	49	5	4	653	8	146	4	0	836	"collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase"
"A830018L16Rik"	1780	4	0	0	54	1366	3	6	0	34	2255	6	0	0	30	"RIKEN cDNA A830018L16 gene"
"Tmem178b"	4471	22	93	0	32	5034	14	85	0	24	4786	33	30	3	14	"transmembrane protein 178B"
"Sh3rf2"	7	320	2	2	1285	107	331	3	4	804	20	217	30	0	1206	"SH3 domain containing ring finger 2"
"Megf6"	44	51	9	15	771	83	52	10	41	854	50	117	16	41	1217	"multiple EGF-like-domains 6"
"Camk2b"	14964	73	3	7	56	16811	983	171	933	386	19996	969	195	931	529	"calcium/calmodulin-dependent protein kinase II, beta"
"Unc13d"	18	169	26	23	1086	29	233	49	60	1043	29	375	34	35	2046	"unc-13 homolog D"
"Kcnh1"	1554	24	164	0	179	1837	31	48	0	185	2133	15	101	0	190	"potassium voltage-gated channel, subfamily H (eag-related), member 1"
"Serpina9"	15	8	0	845	13	32	11	0	261	74	3	6	4	684	5	"serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 9"
"Syt17"	1101	36	185	2	53	1304	40	236	1	69	1178	31	134	15	189	"synaptotagmin XVII"
"Kl"	154	14	23008	5	19	735	8	17231	2	8	400	10	20680	12	52	"klotho"
"Anks1b"	5889	5	249	0	5	6665	2	68	0	5	7492	15	59	3	2	"ankyrin repeat and sterile alpha motif domain containing 1B"
"Adra2b"	9	11	2711	118	5	20	14	3345	164	0	0	19	3409	73	3	"adrenergic receptor, alpha 2b"
"Kcnt1"	2527	16	699	2	2	4446	6	714	6	4	3484	33	323	6	20	"potassium channel, subfamily T, member 1"
"Col13a1"	11	135	28	181	553	29	157	16	124	618	21	204	18	177	1681	"collagen, type XIII, alpha 1"
"Col25a1"	1607	0	10	1	6	1579	12	10	34	4	1198	2	12	35	6	"collagen, type XXV, alpha 1"
"C1qtnf3"	6	7	4757	15	29	5	15	3639	6	40	8	6	6402	6	40	"C1q and tumor necrosis factor related protein 3"
"Cfi"	1	14	41	31435	29	1	125	109	21333	40	2	192	225	29909	12	"complement component factor i"
"Tlcd3b"	1308	10	11	6	54	1019	48	31	23	60	1391	40	30	9	197	"TLC domain containing 3B"
"Kcnc1"	4325	28	1	1	16	3715	31	2	1	10	3687	42	0	0	11	"potassium voltage gated channel, Shaw-related subfamily, member 1"
"Ntrk3"	5375	51	63	17	89	5237	66	210	16	125	5932	125	101	6	127	"neurotrophic tyrosine kinase, receptor, type 3"
"Tafa1"	951	5	6	5	61	1084	5	10	2	70	1086	10	4	3	69	"TAFA chemokine like family member 1"
"Ddn"	14310	3	185	0	1	17206	11	226	0	0	21411	10	187	6	5	"dendrin"
"Slc27a4"	1829	25894	1410	1696	597	1625	22983	1435	2101	498	2008	18322	1956	1946	856	"solute carrier family 27 (fatty acid transporter), member 4"
"Hopx"	253	613	68	658	6446	217	496	41	629	6065	272	740	103	1117	4863	"HOP homeobox"
"Tmprss9"	3	15	384	0	1	10	51	112	10	0	11	71	404	12	2	"transmembrane protease, serine 9"
"Actg2"	3	2371	6	4	371	3	3357	31	12	254	0	4411	79	3	582	"actin, gamma 2, smooth muscle, enteric"
"Calcrl"	147	156	359	555	14614	133	89	389	239	14087	104	131	183	490	15061	"calcitonin receptor-like"
"Cdh24"	296	73	25	11	27	308	76	24	27	20	822	127	32	58	106	"cadherin-like 24"
"Kcnh7"	2782	33	38	19	24	2231	51	85	27	55	2161	27	26	20	25	"potassium voltage-gated channel, subfamily H (eag-related), member 7"
"Hydin"	50	0	1	1	975	93	0	3	1	600	50	0	22	0	408	"HYDIN, axonemal central pair apparatus protein"
"Ntng1"	1585	4	31	0	0	1243	14	31	0	4	1044	15	22	9	3	"netrin G1"
"Ntm"	5060	18	6	127	27	4800	12	10	56	25	4954	33	20	46	24	"neurotrimin"
"Pcnx2"	2050	5	1	1	34	2079	0	6	5	11	2570	8	0	6	34	"pecanex homolog 2"
"Zfp941"	1011	10	64	55	9	1079	11	68	37	17	799	15	87	29	10	"zinc finger protein 941"
"Acnat2"	0	0	219	95	0	0	0	559	79	0	0	0	286	64	0	"acyl-coenzyme A amino acid N-acyltransferase 2"
"Caln1"	6520	0	2	362	0	6353	3	0	112	0	7711	4	4	107	1	"calneuron 1"
"Fam78b"	790	18	23	1	94	695	31	34	4	122	1016	50	6	0	131	"family with sequence similarity 78, member B"
"Csmd1"	1722	19	88	1	22	2007	15	24	5	4	2052	42	32	0	48	"CUB and Sushi multiple domains 1"
"Galnt13"	901	5	0	0	66	614	5	1	0	42	677	4	0	3	73	"polypeptide N-acetylgalactosaminyltransferase 13"
"Myl4"	76	45	30	24	681	223	65	11	43	1235	115	125	26	23	1749	"myosin, light polypeptide 4"
"Retnla"	0	4	20	0	1008	0	46	31	0	607	0	79	24	0	318	"resistin like alpha"
"Tmem151a"	3611	21	80	7	152	3509	52	85	14	73	4434	38	87	6	240	"transmembrane protein 151A"
"C1qtnf7"	19	64	95	36	916	22	51	124	27	878	44	79	105	9	637	"C1q and tumor necrosis factor related protein 7"
"Dpp6"	8956	22	4	0	70	6899	29	24	1	47	6861	52	34	6	39	"dipeptidylpeptidase 6"
"Pclo"	7890	31	327	45	165	6294	22	234	32	55	6859	25	172	29	76	"piccolo (presynaptic cytomatrix protein)"
"Akap6"	8344	110	10	7	92	7621	66	15	9	57	6592	113	12	15	98	"A kinase (PRKA) anchor protein 6"
"Tmem91"	321	8	15	16	13	235	37	14	14	23	303	48	20	29	14	"transmembrane protein 91"
"Cyp2d22"	1035	660	951	17191	1343	516	2132	662	17435	1020	388	950	448	10308	1051	"cytochrome P450, family 2, subfamily d, polypeptide 22"
"Ttr"	2	40	147	327054	0	22832	213	5674	232440	0	6262	292	24	206351	0	"transthyretin"
"Ugt2b38"	0	167	23491	1583	0	0	54	16646	609	0	0	94	20130	577	0	"UDP glucuronosyltransferase 2 family, polypeptide B38"
"Serpina10"	9	2	95	12843	25	7	31	19	9663	15	0	119	51	11648	15	"serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 10"
"Lmtk3"	2427	20	56	0	2	4532	43	72	3	3	5469	42	67	3	14	"lemur tyrosine kinase 3"
"Unc13c"	3381	3	49	0	0	1782	0	39	0	3	703	4	34	3	4	"unc-13 homolog C"
"Hs6st2"	1503	8	265	0	181	883	6	195	1	108	924	15	177	0	72	"heparan sulfate 6-O-sulfotransferase 2"
"Erbb4"	2313	0	413	6	16	1238	0	259	175	11	1510	2	286	12	12	"erb-b2 receptor tyrosine kinase 4"
"Tnfaip8"	210	237	3029	56	370	209	422	8485	49	656	139	490	3449	58	297	"tumor necrosis factor, alpha-induced protein 8"
"Hsd3b3"	8	203	1082	6777	7	14	436	1473	8183	0	18	121	757	3188	3	"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 3"
"Ap3b2"	4068	36	1	1	0	4374	45	1	0	0	5255	52	8	3	2	"adaptor-related protein complex 3, beta 2 subunit"
"Acat3"	47	27	92	2766	8	42	6	121	2132	3	28	21	179	1450	8	"acetyl-Coenzyme A acetyltransferase 3"
"Ncr1"	1	33	19	15	251	1	22	4	5	237	0	42	14	0	232	"natural cytotoxicity triggering receptor 1"
"Syt9"	434	29	15	33	19	415	28	32	41	33	182	60	12	17	17	"synaptotagmin IX"
"Tubb4a"	21664	79	13	13	299	16561	128	29	16	384	14799	156	18	32	327	"tubulin, beta 4A class IVA"
"Kcnj15"	2	56	35491	12	1719	1	37	24767	15	1203	0	152	27909	6	1534	"potassium inwardly-rectifying channel, subfamily J, member 15"
"Ncs1"	8033	41	303	12	135	6026	60	333	10	99	7816	113	408	15	94	"neuronal calcium sensor 1"
"Shisal1"	1270	145	19	6	94	1889	150	34	1	46	1539	196	91	12	106	"shisa like 1"
"Atp11c"	565	456	732	11343	867	371	142	502	5525	691	251	238	416	8162	523	"ATPase, class VI, type 11C"
"Msln"	7	33	11	19	856	32	80	33	53	298	26	200	37	26	1265	"mesothelin"
"Sox7"	39	32	123	57	1288	14	26	133	79	1216	18	63	103	58	3525	"SRY (sex determining region Y)-box 7"
"Ctnna2"	3646	11	136	0	0	3337	15	92	0	1	3339	35	166	3	2	"catenin (cadherin associated protein), alpha 2"
"Kcnma1"	8304	182	83	1	39	8136	103	75	4	3	8884	129	87	9	38	"potassium large conductance calcium-activated channel, subfamily M, alpha member 1"
"Grm4"	628	56	1	0	19	452	18	1	0	9	449	54	12	0	14	"glutamate receptor, metabotropic 4"
"Slc22a8"	373	0	5014	1	7	250	0	11039	4	5	301	4	6736	0	6	"solute carrier family 22 (organic anion transporter), member 8"
"Cdc42ep5"	7	1368	92	135	157	12	1853	53	43	94	14	1548	77	29	191	"CDC42 effector protein (Rho GTPase binding) 5"
"Cyp4a32"	0	5	70	211	5	0	5	97	560	9	0	8	83	1415	9	"cytochrome P450, family 4, subfamily a, polypeptide 32"
"Scgb3a1"	1	10	0	4	7044	1	42	1	6	2622	3	54	0	3	1039	"secretoglobin, family 3A, member 1"
"Dzip3"	3112	126	152	89	257	1936	71	132	68	229	2124	77	81	70	172	"DAZ interacting protein 3, zinc finger"
"Ipcef1"	2329	196	224	13	157	3076	183	278	21	256	3184	156	138	9	121	"interaction protein for cytohesin exchange factors 1"
"Cadm2"	6905	5	14	0	69	4205	5	8	0	25	5356	2	2	3	37	"cell adhesion molecule 2"
"Ghrl"	51	212	20	11	23	42	509	8	13	10	34	333	4	15	31	"ghrelin"
"Chil1"	303	8	5	2	12544	197	8	10	7	20184	257	46	6	0	3397	"chitinase-like 1"
"Aox3"	31	7	29	71864	5364	55	6	46	48020	3180	15	0	22	7863	726	"aldehyde oxidase 3"
"Kndc1"	3553	12	1	0	403	3809	22	2	0	316	3640	13	10	15	345	"kinase non-catalytic C-lobe domain (KIND) containing 1"
"Rtp3"	2	5	62	883	98	0	11	117	1182	103	0	6	73	957	188	"receptor transporter protein 3"
"Insyn1"	1660	15	47	0	103	1944	6	14	4	94	2164	19	16	0	64	"inhibitory synaptic factor 1"
"Fxyd6"	1821	210	52	2	297	2011	402	106	12	157	2712	504	35	20	193	"FXYD domain-containing ion transport regulator 6"
"Hmcn1"	139	298	467	152	2335	72	119	58	75	1704	75	106	53	99	1948	"hemicentin 1"
"Jchain"	21	36176	1848	104	1095	22	42269	130	41	473	20	38081	213	67	408	"immunoglobulin joining chain"
"H2-Q10"	8	428	50	45776	144	2	342	16	75597	76	23	496	211	28038	903	"histocompatibility 2, Q region locus 10"
"Ifit1bl2"	19	1568	28	0	36	20	2771	44	0	45	24	808	4	3	45	"interferon induced protein with tetratricopeptide repeats 1B like 2"
"Syngap1"	4607	110	178	34	299	7358	131	262	72	218	7711	169	292	35	536	"synaptic Ras GTPase activating protein 1 homolog (rat)"
"Nnat"	3182	104	53	21	369	3126	89	25	46	256	4682	46	63	90	238	"neuronatin"
"Cyp2d9"	0	3	1325	42851	5	0	2	3125	72566	0	2	27	1250	36632	1	"cytochrome P450, family 2, subfamily d, polypeptide 9"
"Cst7"	1	66	3	1	33	2	177	3	5	42	0	133	2	0	22	"cystatin F (leukocystatin)"
"Nat8f4"	238	3841	132	189	52	265	4485	313	403	70	23	2119	105	119	14	"N-acetyltransferase 8 (GCN5-related) family member 4"
"D430041D05Rik"	4293	0	2	1	279	4895	0	4	6	46	5597	0	0	9	88	"RIKEN cDNA D430041D05 gene"
"Duox2"	3	210	0	0	36	3	296	3	2	6	0	163	0	0	40	"dual oxidase 2"
"C730014E05Rik"	5	9	10	2671	55	8	6	6	2353	38	2	6	2	1531	23	"RIKEN cDNA C730014E05 gene"
"Mgam"	0	51924	3310	5112	25	1	61301	2094	5299	29	2	29407	1717	4644	9	"maltase-glucoamylase"
"Ptprz1"	8221	10	11	8	168	6474	8	11	7	133	5927	27	0	9	123	"protein tyrosine phosphatase, receptor type Z, polypeptide 1"
"Selenbp2"	1	14	142	5157	308	8	25	260	38231	28	5	23	682	52329	148	"selenium binding protein 2"
"Syt11"	25229	160	277	97	295	19115	316	443	140	365	22654	302	246	102	277	"synaptotagmin XI"
"Nr2f1"	1067	16	20	18	71	1379	23	25	22	133	1548	40	12	26	184	"nuclear receptor subfamily 2, group F, member 1"
"Gprin1"	2701	448	3	0	3	2847	270	2	0	4	3751	248	8	0	4	"G protein-regulated inducer of neurite outgrowth 1"
"Lyz1"	3	42727	3	8	11076	0	46819	11	5	12205	0	45864	6	0	5175	"lysozyme 1"
"Lyz2"	58	1535	186	595	63650	85	4661	406	1529	138869	81	3507	175	728	46476	"lysozyme 2"
"Tmem100"	180	16	28	28	7655	199	20	33	6	10033	122	19	24	3	9099	"transmembrane protein 100"
"Cacng7"	2511	50	18	13	10	2404	59	42	27	25	2292	46	6	3	30	"calcium channel, voltage-dependent, gamma subunit 7"
"Ccdc92b"	801	33	10	4	32	712	32	8	7	18	973	60	2	6	24	"coiled-coil domain containing 92B"
"Hba-a1"	160	21	301	324	4424	47	63	149	268	2779	50	25	170	200	2157	"hemoglobin alpha, adult chain 1"
"Ces3a"	0	42	9	75838	0	0	82	5	78565	0	0	102	8	50188	0	"carboxylesterase 3A"
"Fcho1"	1447	107	41	13	89	2070	230	31	23	127	2534	354	43	9	144	"FCH domain only 1"
"Scn2b"	7110	43	26	1	24	5738	194	33	0	10	6694	54	41	9	14	"sodium channel, voltage-gated, type II, beta"
"Ccdc153"	25	3	2	0	638	67	3	9	0	771	38	0	4	0	408	"coiled-coil domain containing 153"
"Hs3st3b1"	38	100	108	2396	136	19	88	160	3097	110	12	200	81	4182	140	"heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1"
"Adamtsl3"	78	67	3	0	656	36	54	19	6	329	38	60	4	3	445	"ADAMTS-like 3"
"Fam217b"	2223	59	76	35	245	1707	88	124	32	302	1990	77	83	15	319	"family with sequence similarity 217, member B"
